TeamID,off,def,net,conf_random,conf_true
36,122.75512781982341,86.87077401357703,35.88435380624638,SC,BE
44,118.21988617134663,88.65639087492256,29.563495296424065,SC,Amer
359,124.43890948098812,95.74675263303818,28.69215684794993,SC,P12
24,117.18787279775356,90.60969008882935,26.578182708924203,Amer,SEC
84,117.37502158733847,91.29978899511546,26.075232592223003,ASun,B12
174,118.30629394222844,93.05187894010065,25.254415002127786,MAAC,SEC
345,119.64991778612686,94.67087267939318,24.97904510673368,MVC,B10
30,112.02731817370729,87.62042278233872,24.406895391368565,MAC,WCC
322,118.29225624120066,96.02895600817513,22.263300233025532,MWC,B12
21,112.77492932505064,90.54333922141606,22.231590103634574,A10,BE
82,116.96398083608548,97.65226961914935,19.311711216936132,BSky,P12
295,115.41115802537362,96.203209870816,19.207948154557627,MVC,BE
320,114.76230659470303,95.67432043955625,19.08798615514678,BSth,WCC
271,111.2285265879172,92.42835130838671,18.800175279530492,MAAC,MWC
245,111.213389702986,92.83052063702769,18.382869065958317,Ivy,BE
61,113.64783291682151,95.39645689283007,18.25137602399144,Amer,B12
252,117.63363800589778,99.5321886482762,18.101449357621576,MAAC,CUSA
204,116.31226405269608,98.38232473430887,17.929939318387213,SC,ACC
326,110.55085966245217,92.65089142061713,17.89996824183504,SB,B12
293,112.7605774218146,95.17575429631337,17.58482312550123,NEC,Amer
169,116.22601726276176,98.9484614015824,17.27755586117935,B12,B12
52,112.25271283877296,94.99551268232122,17.257200156451745,Slnd,SEC
335,107.0154594133705,89.81444080137769,17.201018611992808,MVC,B10
349,108.31824274363946,91.23196090938937,17.086281834250087,SEC,ACC
225,112.65281393916388,96.0828471574579,16.569966781705972,Sum,B12
232,110.12109838502744,93.62855195063125,16.49254643439619,Ivy,B10
13,106.92910196508367,90.47175032772066,16.45735163736302,P12,SEC
86,112.920643291436,96.9218653631818,15.9987779282542,P12,MWC
231,114.13784355062054,98.4039129344661,15.733930616154439,A10,B12
40,115.81659195216264,100.71051938582855,15.106072566334092,BE,B10
23,111.4299845078254,97.21273020891933,14.21725429890607,AE,CUSA
33,106.58732113500824,92.57090722693788,14.016413908070362,A10,SEC
272,109.32909532914991,95.58197667344261,13.747118655707297,CAA,SEC
239,108.16191227568807,94.83267946603304,13.329232809655025,BSky,ACC
95,108.11565180570486,94.85760858410123,13.258043221603629,WCC,B10
98,113.71865497724643,100.70157497649066,13.017080000755769,Amer,B10
133,105.28192150382183,92.44378851390495,12.838132989916886,CAA,MWC
16,113.7002525374754,100.98170723434343,12.718545303131961,Sum,B10
31,114.89879410031996,102.19505822750301,12.70373587281695,B10,B10
45,113.92795432613914,101.28261624409407,12.645338082045072,A10,BE
156,110.67647082262434,98.18670434100179,12.489766481622553,BSky,B10
108,109.52741298705176,97.16060511598874,12.366807871063017,Horz,P12
180,107.07712292411772,94.79589788270611,12.281225041411602,BE,ACC
285,108.32745083358121,96.18362600128914,12.143824832292069,BSth,B10
280,110.37061925926295,98.23839208921099,12.132227170051962,ACC,P12
49,105.38470111046955,93.57560063111413,11.809100479355422,SC,B12
137,107.77794208999607,95.96937356745046,11.808568522545613,B10,CUSA
111,110.53124413441552,98.92290737795383,11.608336756461682,WCC,ASun
269,114.17981305304598,102.58924783892188,11.590565214124098,MAAC,B10
99,109.44074721550744,97.87872040408048,11.56202681142696,MAC,Amer
312,108.45009024752896,96.94933648490303,11.500753762625934,Horz,BE
283,107.43603598287562,96.0734040223134,11.362631960562226,Horz,ACC
51,115.37263295690641,104.47682209416247,10.895810862743943,Sum,SEC
148,114.35303090978928,103.46922152609537,10.883809383693915,Slnd,B12
71,107.09827972001685,96.70424584899682,10.394033871020028,MAC,P12
310,112.69793278378737,102.74053896950413,9.957393814283236,MEAC,Amer
126,105.86849920407388,95.94070621419306,9.927792989880828,A10,SEC
243,109.0874192476958,99.18326383199908,9.90415541569672,Pat,BE
329,107.81701322237288,97.95538341630889,9.861629806063988,WCC,ACC
58,106.86540455137303,97.12066303483888,9.744741516534148,WAC,A10
127,114.52809983110616,104.98846071821741,9.53963911288875,BW,B10
288,110.12995733214535,100.67065730771452,9.459300024430831,SWAC,MWC
207,110.57326257413014,101.61426767131151,8.958994902818631,B12,B12
262,107.20643308210884,98.43546228475273,8.770970797356114,ASun,WAC
6,108.68092053081028,99.9336578377559,8.747262693054381,BE,Ivy
303,112.3206805907039,103.57708326306043,8.74359732764347,B12,MWC
237,108.47419939869593,99.82104591162987,8.653153487066064,SWAC,P12
67,114.31196788202898,105.7295322550607,8.582435626968277,OVC,ACC
304,104.8455150929811,96.31710057171904,8.528414521262064,Amer,MVC
57,106.80981716402707,98.3196702815385,8.49014688248856,SWAC,P12
311,112.25167086020794,103.8903361243859,8.361334735822041,WAC,CAA
360,106.88384382629978,98.82281465771891,8.061029168580873,SEC,Sum
64,102.00647066996295,94.014010958661,7.992459711301947,Slnd,WAC
15,111.11156845894236,103.12538862554433,7.986179833398026,A10,SEC
358,105.49054080546212,97.60688491631876,7.8836558891433555,BSky,P12
197,103.33084997631508,95.47589629469388,7.854953681621197,B10,MAAC
28,107.24410457706792,99.46198281581022,7.782121761257699,SEC,WCC
46,111.66887337192443,103.9499191773119,7.718954194612536,MAC,MAC
341,105.40907018002014,98.01523505872402,7.393835121296121,P12,A10
121,106.1114130879732,98.72010168366876,7.391311404304446,Horz,ACC
53,106.25117738276747,99.00489977931127,7.246277603456193,Amer,SEC
143,109.33108392705564,102.09666818009457,7.234415746961076,SEC,BE
249,103.09356247509628,95.91541409973544,7.178148375360834,MWC,SB
