TeamID,off_true,def_true,net_true,conf_random,conf_true,off_est,def_est,net_est,games,schedule_type
36,122.7551278198234,86.87077401357703,35.88435380624638,SC,BE,117.44743318832218,98.2194423159918,19.22799087233038,32,Random Conferences
44,118.21988617134664,88.65639087492256,29.563495296424065,SC,Amer,120.14437237131474,80.5059274236257,39.63844494768904,32,Random Conferences
359,124.43890948098812,95.74675263303818,28.69215684794993,SC,P12,121.80404003913362,98.63494764463518,23.16909239449845,32,Random Conferences
24,117.18787279775356,90.60969008882935,26.578182708924203,Amer,SEC,118.84939090642064,95.92824006202733,22.92115084439331,30,Random Conferences
84,117.37502158733848,91.29978899511546,26.075232592223003,ASun,B12,125.81643323023502,102.15196532719179,23.66446790304323,32,Random Conferences
174,118.30629394222844,93.05187894010064,25.254415002127782,MAAC,SEC,127.6086239183343,96.06323325587115,31.54539066246315,30,Random Conferences
345,119.64991778612686,94.67087267939318,24.97904510673368,MVC,B10,119.25243640610125,92.44027475740353,26.812161648697725,32,Random Conferences
30,112.02731817370729,87.62042278233872,24.406895391368565,MAC,WCC,112.74843518144814,99.46854379861257,13.279891382835572,32,Random Conferences
322,118.29225624120066,96.02895600817511,22.263300233025532,MWC,B12,126.36991100235208,90.49043237554072,35.87947862681136,30,Random Conferences
21,112.77492932505064,90.54333922141606,22.231590103634577,A10,BE,124.36946761282915,86.02858815318467,38.34087945964448,32,Random Conferences
82,116.96398083608548,97.65226961914937,19.311711216936132,BSky,P12,120.94746360287893,103.48311436362438,17.464349239254545,32,Random Conferences
295,115.41115802537362,96.203209870816,19.207948154557627,MVC,BE,106.5892205468514,95.01043753691539,11.578783009936004,32,Random Conferences
320,114.76230659470303,95.67432043955624,19.08798615514678,BSth,WCC,116.59390043500183,104.47471168573571,12.119188749266115,32,Random Conferences
271,111.2285265879172,92.42835130838672,18.800175279530492,MAAC,MWC,109.46688078838935,92.13841162447038,17.328469163918967,30,Random Conferences
245,111.213389702986,92.83052063702767,18.382869065958317,Ivy,BE,106.5544575568099,111.33836277402936,-4.78390521721947,32,Random Conferences
