TeamID,off_true,def_true,net_true,conf_random,conf_true,off_est,def_est,net_est,games,schedule_type
36,122.7551278198234,86.87077401357703,35.88435380624638,SC,BE,117.29473663138887,96.05382044993269,21.240916181456186,30,True Conferences
44,118.21988617134664,88.65639087492256,29.563495296424065,SC,Amer,122.53771858459541,94.48045918563065,28.05725939896476,30,True Conferences
359,124.43890948098812,95.74675263303818,28.69215684794993,SC,P12,130.85253999709465,112.28781187409375,18.564728123000904,32,True Conferences
24,117.18787279775356,90.60969008882935,26.578182708924203,Amer,SEC,119.39937283692451,94.87725540213948,24.52211743478503,32,True Conferences
84,117.37502158733848,91.29978899511546,26.075232592223003,ASun,B12,103.86113584714555,88.49720285653356,15.363932990611985,32,True Conferences
174,118.30629394222844,93.05187894010064,25.254415002127782,MAAC,SEC,114.4840372596127,97.01915575403243,17.46488150558028,32,True Conferences
345,119.64991778612686,94.67087267939318,24.97904510673368,MVC,B10,112.00776633629141,96.70298193226715,15.30478440402426,32,True Conferences
30,112.02731817370729,87.62042278233872,24.406895391368565,MAC,WCC,118.7352005518249,106.62981751383977,12.105383037985135,32,True Conferences
322,118.29225624120066,96.02895600817511,22.263300233025532,MWC,B12,123.42178403916225,103.0677691408322,20.35401489833005,32,True Conferences
21,112.77492932505064,90.54333922141606,22.231590103634577,A10,BE,120.11360793799004,95.32848454634205,24.785123391647986,30,True Conferences
82,116.96398083608548,97.65226961914937,19.311711216936132,BSky,P12,115.86752636360002,95.81531027510246,20.05221608849756,32,True Conferences
295,115.41115802537362,96.203209870816,19.207948154557627,MVC,BE,114.66542008122181,86.95936699923331,27.7060530819885,30,True Conferences
320,114.76230659470303,95.67432043955624,19.08798615514678,BSth,WCC,113.38967355730603,96.56553075138494,16.824142805921085,32,True Conferences
271,111.2285265879172,92.42835130838672,18.800175279530492,MAAC,MWC,111.16388161153421,85.40416264881931,25.7597189627149,30,True Conferences
245,111.213389702986,92.83052063702767,18.382869065958317,Ivy,BE,93.98045998941055,92.17746911218522,1.8029908772253265,30,True Conferences
